Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"No Prey, No Pay","The Helm > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/124087263/no-prey-no-pay,3.0,-1,Sport,5.12b,1,50,47.56595,-120.77979
"Stepasaurus Right","T-Rex > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122490755/stepasaurus-right,1.5,-1,Sport,5.8-,1,50,47.56814,-120.77998
"The Snail","T-Rex > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122490782/the-snail,3.0,-1,Sport,5.8,1,50,47.56814,-120.77998
"Tarzan of the Apes","T-Rex > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120852449/tarzan-of-the-apes,3.0,-1,Sport,5.10c,1,60,47.56814,-120.77998
T-Rex,"T-Rex > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120852300/t-rex,3.0,-1,Sport,"5.11- PG13",1,60,47.56814,-120.77998
"Rabble Rouser","SG (Placeholder) > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122650660/rabble-rouser,2.0,-1,Sport,5.10d,1,40,47.56655,-120.77719
"Aggro Culture","SG (Placeholder) > Bridge Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/122684948/aggro-culture,1.0,-1,"Trad, TR",5.11a,1,40,47.56655,-120.77719
"The Dog Ate My Topo","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106590990/the-dog-ate-my-topo,1.8,-1,Sport,5.7,1,100,47.53632,-120.71457
"The Scene is Clean","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105794286/the-scene-is-clean,2.6,-1,Sport,5.8,1,100,47.53632,-120.71457
"TOOL TIME","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/109269728/tool-time,2.0,-1,Sport,5.9,1,100,47.53632,-120.71457
"Veins of Glory","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105791922/veins-of-glory,2.7,-1,Sport,5.10b,1,80,47.53632,-120.71457
"Milky Way","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105791931/milky-way,2.8,-1,Sport,5.10b,2,100,47.53632,-120.71457
"Speak No Evil","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/112019746/speak-no-evil,3.2,-1,Sport,5.11a,1,100,47.53632,-120.71457
"Leap of Faith","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106434115/leap-of-faith,2.9,-1,"Trad, Sport",5.11,1,80,47.53632,-120.71457
"Edge of Space","Snow Creek Wall > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/107205609/edge-of-space,3.7,-1,"Trad, Sport",5.11b,7,,47.52963,-120.71869
"Five Gray Knobs","Wart Wall > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115187391/five-gray-knobs,1.0,-1,Sport,"5.8+ PG13",1,70,47.54635,-120.74044
"Warts In My Shorts","Wart Wall > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115187776/warts-in-my-shorts,1.0,-1,Sport,"5.10a PG13",1,70,47.54635,-120.74044
Wartless,"Wart Wall > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115187356/wartless,1.0,-1,Sport,5.10-,1,65,47.54635,-120.74044
"Liquid Nitrogen","Wart Wall > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115185685/liquid-nitrogen,3.0,-1,Sport,5.12a,1,70,47.54635,-120.74044
"Feather Steps","Eagle Feather Buttress > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115187858/feather-steps,2.7,-1,Sport,5.9,1,90,47.54567,-120.74116
"Nothing up my Sleeve","Eagle Feather Buttress > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119142183/nothing-up-my-sleeve,2.5,-1,"Trad, TR",5.9,1,90,47.54567,-120.74116
"Edge of Time","Eagle Feather Buttress > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121553938/edge-of-time,2.0,-1,Sport,5.10-,1,60,47.54567,-120.74116
"Lady Floral","The Underworld > Scuttlebuttress Crags > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115380858/lady-floral,3.0,-1,Sport,5.8,1,90,47.55954,-120.79055
"Toprope Project Wall","The Midlands > Scuttlebuttress Crags > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115383908/toprope-project-wall,1.0,-1,"Trad, TR",5.10,1,30,47.55959,-120.79156
"Forrest Gumption","The Heap > Scuttlebuttress Crags > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121301770/forrest-gumption,1.0,-1,Sport,5.9,1,50,47.55899,-120.78355
"Slag Swag","The Heap > Scuttlebuttress Crags > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121228907/slag-swag,-1.0,-1,Sport,5.10c,1,60,47.55899,-120.78355
"Pieces of Eight","Rare Earth > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/121561919/pieces-of-eight,1.0,-1,Sport,5.8,1,90,47.54704,-120.7394
"Rare Earth","Rare Earth > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/117750299/rare-earth,2.8,-1,Sport,5.10a,1,90,47.54704,-120.7394
Silhouettes,"Fourth of July Buttress > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106824886/silhouettes,1.7,-1,Sport,5.7,1,40,47.5427,-120.7106
"Green World","Fourth of July Buttress > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106824881/green-world,1.5,-1,TR,5.10a,1,25,47.5427,-120.7106
Facelift,"Fourth of July Buttress > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/112831407/facelift,3.6,-1,Sport,5.10b,1,,47.5427,-120.7106
"Full Frontal Fun","Fourth of July Buttress > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106824893/full-frontal-fun,2.0,-1,Sport,5.10c,1,40,47.5427,-120.7106
